BJD - 2454833, Corrected Flux
2401.627000164, 0.996716072,
2401.647432359, 0.996560504,
2401.667864454, 0.996794377,
2401.688296449, 0.996805075,
2401.708728643, 0.996657577,
2401.729160737, 0.996540670,
2401.749592830, 0.996314546,
2401.770024923, 0.996251781,
2401.790457016, 0.996588165,
2401.831321200, 0.996560338,
2401.851753291, 0.996543145,
2401.872185482, 0.996684114,
2401.892617473, 0.996637723,
2401.913049563, 0.996620258,
2401.933481753, 0.996648231,
2401.953913842, 0.996794288,
2401.974345831, 0.997061263,
2401.994778019, 0.996326104,
2402.015210107, 0.996295519,
2402.035642095, 0.996584909,
2402.076506370, 0.996482651,
2402.096938356, 0.996618786,
2402.117370542, 0.996571196,
2402.137802628, 0.996699651,
2402.158234813, 0.996813386,
2402.178666798, 0.996685045,
2402.199098883, 0.996773623,
2402.219530966, 0.996684035,
2402.239963050, 0.996824306,
2402.260395134, 0.996796048,
2402.280827217, 0.996791068,
2402.301259299, 0.996665357,
2402.321691381, 0.996883409,
2402.342123463, 0.996697427,
2402.362555544, 0.996861191,
2402.382987625, 0.997856785,
2402.403419805, 0.996830162,
2402.423851785, 0.996629781,
2402.444283865, 0.996912280,
2402.464716044, 0.996938502,
2402.485148023, 0.997006971,
2402.505580201, 0.997008629,
2402.526012279, 0.997101213,
2402.566876434, 0.996761303,
2402.587308511, 0.996960808,
2402.607740488, 0.996988260,
2402.628172663, 0.996887979,
2402.648604739, 0.996706738,
2402.669036714, 0.996888627,
2402.689468889, 0.996934161,
2402.709900964, 0.997071590,
2402.730332938, 0.997069163,
2402.750765111, 0.996869298,
2402.771197184, 0.996887907,
2402.791629258, 0.996864686,
2402.812061330, 0.997102741,
2402.832493402, 0.997068505,
2402.852925574, 0.997008701,
2402.873357645, 0.996939655,
2402.893789616, 0.996972352,
2402.914221786, 0.996828656,
2402.934653856, 0.997545444,
2402.955085826, 0.996829485,
2403.057246168, 0.997033369,
2403.077678235, 0.997299294,
2403.098110402, 0.997273298,
2403.118542368, 0.997229307,
2403.138974435, 0.997366747,
2403.159406600, 0.996984864,
2403.179838565, 0.996780094,
2403.200270730, 0.996791462,
2403.220702795, 0.996895905,
2403.241134859, 0.996926155,
2403.261566922, 0.996381567,
2403.302431049, 0.997044680,
2403.322863111, 0.997432827,
2403.343295173, 0.997278663,
2403.363727235, 0.997035450,
2403.384159396, 0.997153673,
2403.404591357, 0.997176973,
2403.425023418, 0.997170782,
2403.445455578, 0.997132238,
2403.465887537, 0.997006258,
2403.486319597, 0.997193888,
2403.506751756, 0.997194762,
2403.527183714, 0.997162018,
2403.547615872, 0.997195694,
2403.568047930, 0.997016859,
2403.588479887, 0.996721704,
2403.608912044, 0.997038433,
2403.629344101, 0.997326442,
2403.649776057, 0.997075332,
2403.670208213, 0.997023671,
2403.711072324, 0.996488323,
2403.731504378, 0.998622081,
2403.751936432, 0.999360418,
2403.792800540, 0.997401493,
2403.813232593, 0.997246811,
2403.833664545, 0.997188317,
2403.854096697, 0.997232154,
2403.874528750, 0.997120748,
2403.894960801, 0.997105646,
2403.915392852, 0.997297867,
2403.935824903, 0.997291960,
2403.956257053, 0.996996992,
2403.976689003, 0.997226812,
2403.997121053, 0.997300589,
2404.037985150, 0.997337085,
2404.058417199, 0.997404808,
2404.078849347, 0.997289910,
2404.099281294, 0.997312134,
2404.119713341, 0.997248319,
2404.140145488, 0.997092659,
2404.160577435, 0.997025415,
2404.181009481, 0.997277943,
2404.201441627, 0.997234024,
2404.221873672, 0.997146595,
2404.242305716, 0.997311341,
2404.283169805, 0.997168671,
2404.303601849, 0.997383929,
2404.324033892, 0.997523692,
2404.344465935, 0.997561122,
2404.364897978, 0.997457594,
2404.385330019, 0.997387239,
2404.405762061, 0.997625248,
2404.426194103, 0.997312927,
2404.446626144, 0.997300037,
2404.467058184, 0.997380266,
2404.487490225, 0.997549849,
2404.507922264, 0.997305768,
2404.528354204, 0.997537141,
2404.548786343, 0.997463889,
2404.569218382, 0.997473914,
2404.589650520, 0.997638864,
2404.610082458, 0.997694816,
2404.630514495, 0.997683040,
2404.650946632, 0.997662980,
2404.671378569, 0.997568897,
2404.691810606, 0.997633220,
2404.712242742, 0.997382024,
2404.732674677, 0.997434256,
2404.773538848, 0.997614990,
2404.793970882, 0.997373016,
2404.814402816, 0.997586276,
2404.834834949, 0.997539856,
2404.855266983, 0.997740085,
2404.875698916, 0.996917926,
2404.896131048, 0.997501778,
